name,elevation,aspect,horizontal_distance_to_roadways,time_in,time_out
arhcseyw,0.457,0.125,0.381,660,1733
tphdprtt,0.455,0.161,0.377,593,689
xpytqyhn,0.452,0.144,0.373,80,1405
gkuymadv,0.452,0.089,0.369,228,1377
kbjekkrc,0.45,0.111,0.365,736,1652
pfejkwpj,0.447,0.092,0.361,927,1092
uddqbceq,0.447,0.083,0.357,448,1434
qzfbqkcb,0.445,0.925,0.353,382,1071
fcbrhhlv,0.449,0.908,0.349,923,1857
qqygkjse,0.448,0.131,0.345,951,1075
hdfpeckc,0.445,0.153,0.34,572,891
gscthtaw,0.444,0.15,0.336,364,1061
unjmecok,0.443,0.175,0.332,883,1304
xpghpavn,0.442,0.167,0.328,773,1054
vusyerqs,0.44,0.125,0.324,683,1050
yvspxjwg,0.439,0.083,0.32,904,1177
jbyvlkil,0.438,0.161,0.316,894,1807
emzgvzdb,0.436,0.208,0.312,59,645
tuxnjtox,0.433,0.219,0.308,701,1494
djonzyvq,0.429,0.236,0.304,713,1548
yjbikunz,0.429,0.294,0.3,572,1478
pbwcwfdy,0.427,0.275,0.296,808,1467
sykulsjc,0.424,0.3,0.292,461,767
tbawtcdc,0.422,0.336,0.288,597,833
pwvrxzfr,0.42,0.319,0.284,245,1940
wofwryuu,0.415,0.294,0.28,931,1813
qcetgsrz,0.411,0.275,0.276,810,1693
qoyiappf,0.411,0.861,0.272,447,1777
gtygsztn,0.414,0.875,0.268,607,977
elbebkam,0.416,0.944,0.264,407,1313
udakmuwm,0.416,0.978,0.26,182,1047
ekcsronx,0.417,0.983,0.256,260,1364
gpbtwium,0.417,0.969,0.252,57,595
ekryunxz,0.418,0.972,0.248,800,1740
ihyedeex,0.418,0.086,0.244,701,1803
ktfmanda,0.416,0.147,0.24,375,647
qzhfthxf,0.415,0.106,0.236,925,1253
jfsiqgnw,0.415,0.203,0.233,556,694
nbzebycp,0.413,0.292,0.229,92,108
aksbxvvh,0.411,0.278,0.225,483,662
ygfvqhxw,0.409,0.214,0.221,176,1682
dzgwyydv,0.408,0.181,0.217,510,775
iastonjp,0.407,0.189,0.213,687,1706
jpffhjau,0.406,0.25,0.209,349,1037
ocefezvq,0.405,0.261,0.206,440,1058
vkkrhvqa,0.403,0.208,0.202,558,1516
phasoxzk,0.4,0.147,0.198,918,1658
gpwtabnf,0.399,0.142,0.194,468,1701
ekozbrzp,0.399,0.0,0.19,648,1557
nwlmjepy,0.4,0.075,0.187,298,431
xhzcrdsu,0.399,0.142,0.183,464,1056
bickbjko,0.395,0.125,0.179,700,1257
egfygnaf,0.393,0.008,0.176,231,1632
kdasvnyx,0.396,0.95,0.172,884,1509
bfaxrmtj,0.394,0.094,0.168,147,831
nypymhvi,0.393,0.092,0.165,155,699
uzdflkyp,0.392,0.083,0.161,631,1231
rrfouigt,0.392,0.1,0.158,931,1874
njhqoukf,0.391,0.111,0.154,447,1969
sboemumf,0.389,0.139,0.151,176,499
fglzwmsp,0.388,0.192,0.148,985,1493
svmaciei,0.387,0.269,0.144,998,1720
cqseqflz,0.384,0.278,0.141,133,244
tbcylkap,0.382,0.242,0.138,102,1262
mjxxxwnf,0.382,0.186,0.134,716,828
mykdafos,0.38,0.189,0.131,225,413
fuhmojyd,0.377,0.081,0.128,383,1162
usjpchvx,0.379,0.956,0.125,752,1210
aiozssfm,0.38,0.075,0.122,840,928
qsuojhyy,0.378,0.1,0.119,715,1407
kurfrhsi,0.378,0.108,0.117,873,1872
qleaytfj,0.375,0.114,0.114,232,1508
nnuexrvn,0.375,0.147,0.111,285,876
epzprnsv,0.373,0.169,0.109,913,1675
hwogbpcb,0.372,0.175,0.106,74,1924
bfcgyqpl,0.372,0.2,0.104,50,763
vsfbqhoh,0.373,0.228,0.102,83,507
azddszuz,0.369,0.247,0.1,141,1721
tljqbcjr,0.366,0.269,0.098,300,544
ppsugkpf,0.366,0.239,0.096,92,686
wlhaargr,0.364,0.189,0.095,925,1342
ceyjdyis,0.365,0.125,0.093,592,1596
lxtbsxit,0.363,0.103,0.092,909,1412
vdnptbxs,0.363,0.078,0.091,401,1090
gnscrdmu,0.362,0.217,0.09,365,952
zimctrlg,0.359,0.244,0.089,203,1416
ieprjrtk,0.34,0.239,0.102,803,1819
xcxlzobm,0.339,0.25,0.104,347,1047
qvdcaqms,0.336,0.261,0.106,744,936
phrqsxyq,0.334,0.519,0.109,301,1347
dskkzhrq,0.338,0.581,0.111,270,511
pngkqztj,0.604,0.272,0.944,18,1386
zuhedfvc,0.601,0.272,0.94,884,1294
uzljwofg,0.596,0.25,0.936,918,1446
xiifsjtj,0.593,0.189,0.932,985,1357
gsccejss,0.591,0.125,0.928,721,1563
mxlgzehl,0.589,0.167,0.924,655,841
ziizrmvm,0.584,0.206,0.919,375,1403
heiraurj,0.583,0.264,0.915,320,1731
xvjnkdpe,0.581,0.328,0.911,528,1807
isoanmyl,0.578,0.344,0.907,8,1952
hnduapoo,0.576,0.317,0.903,340,1136
lrzvzfle,0.575,0.217,0.898,396,1592
rfuvoiqj,0.57,0.192,0.894,797,1559
rcwvkjek,0.568,0.125,0.89,878,1187
junoitze,0.566,0.047,0.886,694,1542
hwebnrcx,0.566,0.011,0.882,506,1267
bezqjbyx,0.566,0.0,0.877,472,1103
pdksinbj,0.566,0.017,0.873,671,900
nudhtgkq,0.566,0.094,0.869,314,473
emhdigzs,0.565,0.075,0.865,369,1855
evqjdiyo,0.565,0.175,0.861,916,1780
asqtyvtp,0.563,0.272,0.857,181,982
zoxswxms,0.563,0.264,0.852,621,1567
qjzwjghj,0.56,0.272,0.848,887,1596
vinnktyr,0.557,0.336,0.844,856,1111
jjuzuimu,0.555,0.325,0.84,688,1401
ooyuppsh,0.553,0.125,0.836,214,1183
ctwndxks,0.553,0.008,0.831,312,1727
iubtizve,0.553,0.022,0.827,625,1963
rdwxpxff,0.553,0.042,0.823,538,1980
yuzmblcd,0.552,0.019,0.819,280,723
rotvshjg,0.552,0.019,0.815,246,1993
eewgznvf,0.55,0.058,0.81,654,1153
jjnvzxer,0.548,0.022,0.806,58,1069
thkrsbvg,0.548,0.958,0.802,664,1679
vxgkfzql,0.55,0.008,0.798,911,1023
vduuymst,0.548,0.044,0.794,701,844
crqgfcvd,0.548,0.044,0.79,763,1322
khbsivve,0.547,0.036,0.785,915,1098
gxitpzth,0.545,0.028,0.781,549,1458
ypevcrzw,0.545,0.078,0.777,648,1586
cmrgghlr,0.542,0.097,0.773,818,866
bckscxcs,0.54,0.058,0.769,587,1222
otwowakk,0.54,0.064,0.764,108,1644
zmosaygm,0.537,0.092,0.76,930,1461
kcksrtmh,0.535,0.094,0.756,200,1726
bcxfpzzz,0.532,0.092,0.752,162,275
isozbfbc,0.53,0.053,0.743,807,1428
eloiboif,0.529,0.136,0.739,354,1118
oabunygc,0.524,0.114,0.735,761,1285
vnndemyn,0.524,0.044,0.731,262,1803
vzzkyzhh,0.522,0.081,0.727,289,646
mcfbpaus,0.521,0.072,0.723,154,394
ewylznrx,0.521,0.0,0.718,374,812
vqvktxim,0.521,0.064,0.714,747,1765
qkcbglnl,0.521,0.181,0.71,324,1506
mefsropb,0.517,0.217,0.706,881,1521
sgefnmcl,0.514,0.25,0.702,250,1650
kyprejvq,0.509,0.283,0.697,154,283
stcizftg,0.504,0.303,0.693,534,1786
egwnaxgm,0.501,0.297,0.689,884,1958
oriiulxn,0.498,0.275,0.685,834,1999
kvqqiaus,0.493,0.261,0.681,739,982
vjrryvla,0.489,0.969,0.677,808,1197
cdkqvqae,0.493,0.847,0.672,623,1588
zrlxkemk,0.496,0.875,0.668,592,1066
etdofkul,0.499,0.875,0.664,828,1513
cmucdymw,0.502,0.897,0.66,696,1739
unanomer,0.504,0.939,0.656,442,1215
jqdktxln,0.506,0.981,0.652,553,1884
bokuejnu,0.505,0.033,0.647,916,1385
kuqamnut,0.504,0.106,0.643,224,305
eynaawwb,0.502,0.189,0.639,631,1443
dhfrlprb,0.5,0.264,0.635,724,1144
tqekpsgm,0.497,0.344,0.631,136,831
gxniffxt,0.496,0.442,0.627,897,1376
wanrrdwl,0.496,0.506,0.622,739,1211
lltviecp,0.496,0.531,0.618,34,1197
nswyynze,0.497,0.553,0.614,148,388
pyjnknrl,0.499,0.556,0.61,360,1172
ybsmoyde,0.501,0.536,0.606,906,954
isqsgtkl,0.501,0.533,0.602,395,730
fcwicgpb,0.502,0.55,0.597,960,1735
uzuuizci,0.504,0.569,0.593,641,1026
yzzikpbz,0.505,0.583,0.589,184,1142
ipbfzxom,0.507,0.606,0.585,475,823
kccuessb,0.509,0.533,0.581,359,1342
bnrytdyq,0.507,0.511,0.577,603,1016
qocmqled,0.509,0.531,0.572,450,530
dpfwfifb,0.509,0.394,0.568,20,1961
wpelgovt,0.506,0.35,0.564,82,508
aquuvrqf,0.506,0.45,0.56,511,1351
yvjkokkp,0.506,0.436,0.556,415,1852
wepaktah,0.502,0.411,0.552,639,1131
agtbmsdw,0.501,0.464,0.547,300,1777
nygqlefe,0.501,0.458,0.543,35,182
hpyeewad,0.499,0.422,0.539,602,1150
ggarbcpg,0.498,0.406,0.535,623,1853
vlwmynry,0.494,0.361,0.531,84,360
mvenfbtx,0.488,0.339,0.527,682,1132
yygbbjjx,0.481,0.333,0.523,681,1620
ymzoowvf,0.473,0.325,0.518,615,1681
ygwdozei,0.465,0.347,0.514,746,1535
voofuekc,0.46,0.375,0.51,437,1069
ezgaueky,0.453,0.364,0.506,718,916
ajabikok,0.445,0.331,0.502,71,397
dheoroof,0.442,0.131,0.498,243,676
ievokulm,0.442,0.042,0.494,931,942
ioheggbn,0.44,0.972,0.489,254,1692
spjusbgn,0.445,0.911,0.485,718,1628
zguccupi,0.45,0.919,0.481,326,908
yrwhswzq,0.453,0.922,0.477,288,1242
upnkmzkd,0.457,0.925,0.473,879,1126
vburfyaj,0.46,0.944,0.469,881,1139
zgovnpuy,0.461,0.919,0.465,793,868
urwrnjrj,0.465,0.906,0.46,136,1110
xxgnvskt,0.466,0.9,0.456,481,1247
wakeowas,0.47,0.903,0.452,189,970
lxiwzozq,0.47,0.936,0.448,785,1904
zdarjtho,0.471,0.044,0.444,221,1116
lvzebgzv,0.468,0.05,0.44,374,1103
iekkxbdf,0.47,0.983,0.436,337,1740
ltuslghn,0.468,0.056,0.432,163,1776
vhqxbvsj,0.468,0.125,0.427,889,1551
xfxlwmih,0.468,0.125,0.423,295,619
zgnvybzb,0.468,0.175,0.419,383,598
amptxwwy,0.463,0.15,0.415,249,1226
xerhdktr,0.461,0.108,0.411,598,1276
xigviziq,0.46,0.125,0.407,356,1501
vjxpbnjj,0.46,0.125,0.403,378,1068
limtnmkd,0.46,0.2,0.399,562,1387
hkilajbh,0.458,0.164,0.395,259,834
zsvzxjkl,0.458,0.164,0.39,710,947
ufaupqxa,0.457,0.2,0.386,783,1281
npwtplbz,0.457,0.125,0.382,867,1608
xglsjzqy,0.457,0.194,0.378,802,1258
zjcpojhr,0.453,0.2,0.374,640,1445
qqjakpxz,0.453,0.125,0.37,525,1378
owfwxiqy,0.452,0.106,0.366,66,695
wegjmued,0.45,0.097,0.362,23,1445
bewsmmjy,0.448,0.108,0.358,63,1723
ymprcdme,0.447,0.917,0.354,341,1102
yqkrhjdu,0.45,0.847,0.35,164,187
ylluafzt,0.449,0.208,0.346,782,952
wictndtk,0.446,0.133,0.342,42,1097
vvutnwqd,0.446,0.05,0.338,882,1657
jfoaarim,0.445,0.114,0.334,262,1902
cxipyfnn,0.442,0.142,0.329,388,1429
zvawvyoo,0.442,0.133,0.325,843,1847
tsqduets,0.439,0.208,0.317,894,974
qapsgrvo,0.436,0.231,0.313,109,945
kuttczmc,0.433,0.217,0.309,560,1976
bqlarctq,0.43,0.181,0.305,16,816
oexpomen,0.429,0.164,0.301,288,1715
mnqthjmh,0.428,0.208,0.297,572,1547
dymaqono,0.425,0.244,0.293,160,1083
vydzrfpa,0.421,0.292,0.289,132,1595
uiyxcbmz,0.418,0.297,0.285,528,1047
pssosstb,0.415,0.203,0.281,688,880
geoxwjpc,0.413,0.061,0.277,377,1123
ivneihkv,0.413,0.933,0.273,667,836
pystahfh,0.416,0.886,0.269,69,1191
lkaerplz,0.419,0.928,0.265,455,1320
zfvorung,0.42,0.978,0.261,473,731
cvkolzyg,0.42,0.994,0.258,511,850
qwecivvk,0.42,0.0,0.254,480,806
pogldzdg,0.421,0.028,0.25,846,1104
zqkzziya,0.419,0.125,0.246,679,933
scniflrm,0.417,0.158,0.242,968,1469
qurkzuso,0.416,0.194,0.238,583,1192
cnqufatc,0.414,0.25,0.234,81,1033
nzpsiack,0.41,0.256,0.23,642,1187
iyrphxla,0.41,0.183,0.226,438,455
pcvzhmoh,0.41,0.125,0.223,449,1248
nkuikopr,0.409,0.169,0.219,909,1621
wnhdkymt,0.407,0.2,0.215,408,1785
gyyjgiqj,0.405,0.219,0.211,442,708
nidkyqea,0.403,0.244,0.207,797,1704
rohdvapl,0.402,0.206,0.204,633,1322
pssfdpsr,0.402,0.169,0.2,129,162
cbfngkfo,0.4,0.233,0.196,828,1903
efrqrblg,0.398,0.45,0.192,13,1883
bfgndqdi,0.4,0.55,0.189,7,361
qqpbbmyv,0.399,0.281,0.185,537,1286
klztcujf,0.398,0.153,0.181,714,1498
wbbsgzvg,0.396,0.039,0.178,794,1264
igrsfach,0.396,0.969,0.174,935,1659
qynxfawd,0.396,0.075,0.171,200,1088
nierisbj,0.394,0.069,0.167,315,366
guwjtdkv,0.394,0.022,0.164,368,1967
ytutxmod,0.394,0.072,0.16,729,1897
zdaodidi,0.393,0.158,0.157,671,1633
liogbqqh,0.389,0.281,0.15,104,967
rpoxjctf,0.386,0.314,0.147,172,1898
dyfwljmd,0.383,0.336,0.144,834,1744
tzclpzle,0.383,0.328,0.14,85,1039
gnixnmst,0.382,0.292,0.137,522,1915
fvbcixvy,0.382,0.175,0.134,787,1513
ruslgbad,0.38,0.989,0.131,55,167
hvsjbvzy,0.382,0.994,0.128,201,1610
cqdsjrux,0.379,0.192,0.125,543,843
wkgqlwtj,0.379,0.286,0.123,271,982
lrjfivox,0.378,0.308,0.12,619,1557
dkdrqqon,0.377,0.25,0.117,772,1219
iresfqst,0.376,0.153,0.115,837,1195
uwimfqls,0.375,0.142,0.112,296,1144
xaawdenw,0.374,0.181,0.11,68,207
melmbwgk,0.371,0.267,0.108,642,1175
jvyxfuez,0.371,0.311,0.106,281,1825
fvdktprz,0.369,0.219,0.104,814,1545
mgrwwqud,0.367,0.094,0.102,119,248
ustxevnt,0.368,0.05,0.1,233,1605
gwsayjds,0.366,0.086,0.099,596,1071
hmqzebgy,0.365,0.081,0.097,86,596
byaojkwr,0.365,0.086,0.096,902,1186
kptnfqxx,0.364,0.106,0.095,913,1915
jdcvfpbg,0.363,0.156,0.094,972,1531
krgpffro,0.361,0.175,0.094,560,611
jpvgfskn,0.344,0.167,0.104,263,498
odadfzfa,0.342,0.106,0.106,174,539
rhqsjxfi,0.342,0.15,0.108,126,194
uiqmbhwd,0.338,0.192,0.11,830,1769
mzgycqiv,0.335,0.261,0.112,884,924
mgfjmofp,0.607,0.25,0.949,938,1003
ybfnjrgt,0.603,0.25,0.945,282,1699
vtksvobd,0.599,0.239,0.941,508,1463
pusqxgmb,0.596,0.214,0.937,517,1418
cicaffmr,0.594,0.206,0.932,999,1721
nygpwckp,0.593,0.25,0.928,45,966
yuyjzsmg,0.591,0.275,0.924,427,468
cdbtsodb,0.586,0.281,0.92,747,1197
evmcbnve,0.583,0.3,0.916,966,1508
uccqptdq,0.578,0.311,0.911,600,1083
qoyxktqk,0.576,0.294,0.907,318,372
nzvqmpml,0.575,0.125,0.903,844,1181
ltmyugtr,0.576,0.131,0.899,416,769
gituldjl,0.573,0.15,0.895,275,1093
cozgtnyz,0.57,0.081,0.891,496,1652
jmbohelc,0.57,0.014,0.886,251,383
fsiaylvz,0.57,0.0,0.882,314,1386
yhftzjxk,0.57,0.0,0.878,501,614
cdqkiuzk,0.57,0.064,0.874,757,1785
pgxxbntu,0.566,0.103,0.87,53,917
ohfcdqoc,0.566,0.064,0.865,509,1073
xucbozfy,0.566,0.175,0.861,855,1451
weaizzwd,0.563,0.269,0.857,220,557
vfrqskuj,0.562,0.319,0.853,68,530
mecleqzs,0.558,0.292,0.849,88,1184
brvcokrs,0.555,0.225,0.844,135,1573
xaowtbxg,0.555,0.025,0.84,133,150
shsdlmhz,0.555,0.969,0.836,133,1823
imsxcqct,0.557,0.964,0.832,469,1623
pwrwfedl,0.557,0.011,0.828,940,1883
josghnfp,0.557,0.047,0.824,928,1589
ukyswhll,0.555,0.0,0.819,420,480
kgtnumeu,0.557,0.008,0.815,476,1141
scbjyxmu,0.555,0.075,0.811,733,1022
cbzhxeye,0.552,0.031,0.807,734,1874
btmbtltb,0.553,0.975,0.803,960,1472
pjqxbsrg,0.553,0.0,0.798,182,846
ftbhumlq,0.553,0.036,0.794,659,1432
xhhfdqgb,0.552,0.058,0.79,955,1044
dasdblxh,0.55,0.042,0.786,233,1417
alwpcvoh,0.55,0.039,0.782,477,858
qfmrdzvo,0.548,0.069,0.777,885,1810
limmthmv,0.547,0.094,0.773,248,1052
qfycubpb,0.543,0.103,0.769,931,1782
iumnztil,0.542,0.111,0.765,251,1185
tqmhhktj,0.54,0.106,0.761,104,1273
zrapizre,0.539,0.125,0.756,688,894
cpnxtagd,0.535,0.114,0.752,143,1413
tzkqrixz,0.534,0.042,0.748,601,1407
bauvagik,0.534,0.078,0.744,242,584
toqjmrvr,0.53,0.136,0.74,686,998
gcodixlz,0.527,0.114,0.736,331,1430
csnmnnox,0.525,0.078,0.731,89,1159
thlmdmjk,0.524,0.092,0.727,747,1174
kduegldk,0.522,0.069,0.723,482,1517
nlmgjjdy,0.522,0.064,0.719,524,1377
pgrxxogs,0.522,0.256,0.715,932,1962
kwklohcq,0.519,0.317,0.711,111,120
camdjngx,0.516,0.325,0.706,863,1206
mhncwuer,0.512,0.306,0.702,461,723
rxfnbiwz,0.507,0.281,0.698,34,876
pviofzvk,0.502,0.261,0.694,965,1218
wdrdeapw,0.501,0.25,0.69,872,1380
hdwmsdjq,0.496,0.242,0.686,301,1379
hsooaqsx,0.493,0.194,0.681,19,1513
ispswgcl,0.491,0.914,0.677,211,296
vwbsvhph,0.496,0.856,0.673,11,890
vfhmyzkw,0.499,0.875,0.669,987,1851
lfhaeoco,0.502,0.875,0.665,350,919
otpplhdq,0.506,0.894,0.661,189,1167
jsrszduz,0.507,0.925,0.656,565,669
gwcrwgkd,0.508,0.983,0.652,294,399
xrvuxolr,0.507,0.075,0.648,900,1721
nadsprhx,0.506,0.144,0.644,598,936
zcwjygic,0.503,0.214,0.64,89,1380
klxyuwuc,0.499,0.258,0.636,756,1865
cimixalx,0.496,0.308,0.631,0,696
brxeuxtz,0.494,0.381,0.627,44,567
atipjaqc,0.492,0.506,0.619,587,894
lvqwakxv,0.493,0.533,0.615,16,1969
pywcdcpp,0.494,0.542,0.611,979,1774
tdiyzzct,0.495,0.539,0.606,389,881
yqwlnsfi,0.497,0.542,0.602,143,1337
fxobddoj,0.498,0.558,0.598,993,1550
vxuxjssm,0.5,0.575,0.594,942,1888
ogdqikox,0.502,0.575,0.59,47,1318
buvpldbo,0.504,0.556,0.586,396,1669
wrxhshms,0.504,0.511,0.581,606,1869
snexvjpn,0.504,0.517,0.577,754,1709
cvkuniqt,0.506,0.525,0.573,277,394
jakdwgny,0.506,0.481,0.569,398,475
dxweevdh,0.506,0.428,0.565,798,1389
rucdxwog,0.502,0.425,0.561,294,1377
ssalgwrl,0.501,0.433,0.557,710,1996
jcymjfic,0.499,0.419,0.552,942,1986
pxfuhnlx,0.498,0.456,0.548,238,470
bbcziech,0.498,0.464,0.544,800,1015
cflqfihi,0.496,0.436,0.54,988,1200
nvayxihn,0.493,0.419,0.536,695,886
voyzvsmp,0.489,0.386,0.532,426,1214
muvpuouo,0.483,0.364,0.527,588,1455
qyzqsmzw,0.476,0.353,0.523,256,1080
ufujyrbp,0.47,0.333,0.519,901,1652
tryarjaq,0.461,0.339,0.515,515,979
mgwyjgad,0.453,0.361,0.511,588,1150
czwvfzek,0.447,0.369,0.507,3,910
kgwyrnlm,0.445,0.933,0.503,335,811
werkftmj,0.448,0.95,0.499,90,790
yypklpvr,0.45,0.0,0.494,411,961
kmqhueyj,0.448,0.972,0.49,538,922
fpkhkfbn,0.453,0.919,0.486,124,1143
gjrkgntn,0.458,0.936,0.482,946,1343
terkkdqj,0.46,0.944,0.478,357,1525
lukexwzn,0.463,0.942,0.474,663,1685
yblgztuz,0.465,0.975,0.47,360,934
jzujbvrg,0.465,0.925,0.466,58,103
ulzoxbyf,0.468,0.9,0.461,457,531
yaidakwl,0.47,0.914,0.457,714,1115
ehlxesbu,0.471,0.939,0.453,548,800
qgonqoso,0.471,0.961,0.449,413,1213
adqyntje,0.473,0.033,0.445,84,647
paahhbko,0.471,0.064,0.441,664,1213
yfisjqib,0.471,0.0,0.437,71,175
dgxbgxln,0.471,0.125,0.432,693,1000
ujriowxy,0.468,0.156,0.428,711,1860
nfpurbbp,0.468,0.875,0.424,531,633
fsigagjg,0.47,0.164,0.42,931,1048
ibefkwee,0.466,0.175,0.416,220,943
znbvxvid,0.465,0.175,0.412,464,1602
szggfrlg,0.461,0.217,0.408,359,1290
hknuautk,0.46,0.125,0.404,151,1389
jabiknpm,0.46,0.0,0.4,101,324
fplbizib,0.46,0.094,0.396,528,1249
uoygopws,0.458,0.15,0.392,717,1170
oixwdeuz,0.457,0.125,0.388,890,977
gmaxnuyt,0.457,0.05,0.383,811,935
aunptxjg,0.457,0.186,0.379,91,665
ebchmyyx,0.453,0.189,0.375,72,671
cojxxvge,0.452,0.125,0.371,633,1966
zasesaja,0.453,0.981,0.367,960,1550
uapcsnjp,0.453,0.108,0.363,298,732
bspgqsjt,0.45,0.153,0.359,947,1498
tzhfpysi,0.448,0.0,0.355,1,1285
frnyokuc,0.449,0.875,0.351,758,1648
nziarsza,0.448,0.156,0.347,837,1042
lsroyort,0.447,0.114,0.343,405,1643
kgbrtcnd,0.448,0.108,0.339,954,1776
nezdmour,0.447,0.186,0.335,556,1720
zzjqlcpw,0.445,0.175,0.331,177,1099
myolkuuc,0.442,0.172,0.327,677,751
gtabirab,0.441,0.217,0.323,308,605
txsbrlck,0.439,0.25,0.319,224,1538
azkimuty,0.436,0.247,0.315,101,717
mkvyvhyl,0.434,0.194,0.311,255,353
mmqynwct,0.432,0.144,0.307,182,1333
pcosrclp,0.43,0.183,0.303,16,465
bsnijdcu,0.428,0.264,0.299,119,259
svsoodsf,0.425,0.289,0.295,949,958
slorxgbm,0.42,0.3,0.291,147,1873
iikxfknt,0.417,0.256,0.287,281,1396
iblcxnqm,0.416,0.017,0.283,169,638
aeukypyx,0.417,0.994,0.279,768,1326
wqhzrtck,0.417,0.942,0.275,797,1069
pjdsqqln,0.42,0.897,0.271,147,950
wfkbwncy,0.423,0.939,0.267,146,250
yqikljxq,0.424,0.975,0.263,548,1791
zsnjlqvi,0.425,0.008,0.259,947,1665
ktnqzdbv,0.423,0.053,0.255,201,1526
rohhqspx,0.423,0.111,0.251,497,1953
vgbpgmmv,0.421,0.181,0.247,801,1330
mhimehsl,0.418,0.203,0.244,213,463
labkztoe,0.416,0.192,0.24,361,391
rtwcwoqh,0.415,0.15,0.236,929,1084
mqggogui,0.413,0.136,0.232,273,1223
qjzuemlq,0.411,0.078,0.228,558,1860
hxeeizww,0.412,0.15,0.224,41,486
attyalem,0.41,0.228,0.221,879,1669
yqtzrqrl,0.407,0.139,0.217,562,579
jqnhzuhc,0.408,0.106,0.213,408,1485
qoglfhlh,0.405,0.15,0.209,942,1801
pywzksva,0.403,0.114,0.206,677,1996
zinhttse,0.403,0.178,0.202,410,698
uwgjhung,0.4,0.217,0.198,585,877
wuoieopc,0.397,0.211,0.194,994,1210
kpjcuszv,0.397,0.75,0.191,14,1035
gdhpqlfn,0.398,0.969,0.187,339,481
bzpozuax,0.398,0.078,0.184,974,1618
cpfswjfz,0.398,0.006,0.18,677,1680
onjzvvhm,0.399,0.989,0.176,622,897
jkdjiycw,0.399,0.086,0.173,976,1395
lvbgzjyd,0.397,0.086,0.17,643,1286
cjpdxuyd,0.397,0.025,0.166,753,1049
whslapfy,0.396,0.125,0.163,448,901
vtnnpdod,0.393,0.2,0.159,479,1054
ryfxggtv,0.39,0.228,0.156,696,1094
iwxuogen,0.387,0.231,0.153,224,1662
bftcpxmw,0.384,0.217,0.15,442,1260
xnnyikai,0.382,0.144,0.146,956,1798
oeynqqzb,0.382,0.089,0.143,333,993
anyiakpw,0.381,0.125,0.14,68,684
kkcbfsof,0.381,0.106,0.137,873,1136
acyfaiqe,0.381,0.858,0.134,835,1385
erkcwvzs,0.383,0.022,0.131,831,1256
lysgtajv,0.38,0.172,0.128,180,555
ptykrdal,0.377,0.183,0.126,794,1674
miuhbkub,0.376,0.242,0.123,819,1193
zbcdytfr,0.376,0.331,0.121,199,1614
kvavqaug,0.376,0.35,0.118,643,705
ugjclphc,0.376,0.292,0.116,448,1953
taodjnpe,0.374,0.261,0.114,645,1980
fbayfvpi,0.372,0.217,0.111,307,737
bcqbauvq,0.37,0.139,0.109,968,1216
iqdvpikv,0.37,0.144,0.107,680,1563
nlrazkoj,0.368,0.114,0.106,795,1689
wrnujhvb,0.369,0.089,0.104,750,1822
wiwgmdtw,0.368,0.136,0.103,194,1512
yecwrwuf,0.367,0.147,0.101,215,1685
yqifmnuq,0.366,0.214,0.1,265,946
vtvtsdus,0.365,0.261,0.099,583,765
avvaazmb,0.364,0.208,0.098,219,1883
caktwyrr,0.362,0.192,0.098,749,1364
deuvlehn,0.359,0.183,0.097,91,1612
kdudwukh,0.343,0.233,0.107,825,1030
smntmsfl,0.342,0.25,0.109,73,827
reugekbl,0.342,0.272,0.111,206,1848
fuuujwkw,0.339,0.272,0.114,501,1142
yqnajofw,0.609,0.25,0.95,4,1289
xcgmomoq,0.604,0.236,0.945,40,1227
qktomegn,0.601,0.25,0.941,892,1880
tdxahomj,0.598,0.278,0.937,139,722
zfoimsoq,0.594,0.308,0.933,698,1003
hdrxcwhs,0.591,0.328,0.929,836,921
wzwobill,0.588,0.3,0.925,189,306
guzzynvu,0.583,0.283,0.92,352,1790
kusvdwst,0.581,0.25,0.916,585,1807
iobmokwx,0.578,0.183,0.912,666,681
ywvbhmbg,0.578,0.064,0.908,373,1709
zhstvjgo,0.576,0.986,0.903,975,1221
dseqauoj,0.578,0.053,0.899,744,1547
vwkngpvg,0.573,0.053,0.891,735,1627
fcopvwgg,0.573,0.0,0.887,813,1500
zwqbmvgi,0.573,0.011,0.883,544,887
rnbhyryz,0.573,0.028,0.878,806,1796
slfbzbmx,0.573,0.108,0.874,973,1973
uhjppeya,0.57,0.119,0.87,538,1763
ivxxpfzc,0.568,0.125,0.866,74,211
qwrokkzy,0.566,0.189,0.862,792,1537
azvybekq,0.563,0.194,0.858,47,1322
rxaqfbjh,0.56,0.197,0.853,715,1389
fqbdudfr,0.558,0.183,0.849,590,713
hfxcalru,0.557,0.042,0.845,739,1986
glhwstyf,0.558,0.961,0.841,624,1855
mvxfooqp,0.558,0.939,0.837,167,736
ncqcsvqx,0.56,0.953,0.832,786,1720
gceuiult,0.56,0.033,0.828,70,163
eobwxxvk,0.558,0.036,0.824,698,1186
vtstudhd,0.558,0.981,0.82,187,597
dvakddvq,0.56,0.0,0.816,661,866
evyhbrid,0.558,0.072,0.811,510,848
nwhizqxn,0.557,0.022,0.807,801,915
meugmkpf,0.557,0.992,0.803,48,1626
flhdfihp,0.557,0.011,0.799,311,1681
vrxfobwg,0.557,0.042,0.795,470,1035
htvgntck,0.555,0.075,0.791,694,1855
